word,definition
Otoko,"Otoko may refer to:
"
Bernal,"Bernal is a Spanish given name and surname, equivalent to the English name Bernard.
"
Pomological,"Other reasons this message may be displayed:
"
Tano,"Tano may refer to
"
WWII,"
"
Spittelau,"Spittelau  is a station on U4 and U6 of the Vienna U-Bahn.[1] It combines with Wien Spittelau railway station [de], which is operated by the Austrian Federal Railways (ÖBB), to form a multistorey interchange station.
"
Uplands,"Upland or Uplands may refer to:
"
Gaultier,"Gaultier (French: [gotje]) may refer to:
"
Day,"A day is the time period of a full rotation of the Earth with respect to the Sun.  On average, this is 24 hours (86,400 seconds). As a day passes at a given location it experiences morning, noon, afternoon, evening, and night. This daily cycle drives circadian rhythms in many organisms, which are vital to many life processes.
"
Futbol,"
"
Smashed,"Smashed may refer to:
"
Krupsak,"Other reasons this message may be displayed:
"
Anastasia,"Anastasia (from Greek: Ἀναστασία, romanized: Anastasía) is a feminine given name of Greek origin, derived from the Greek word anástasis (ἀνάστασις), meaning ""resurrection"". It is a popular name in Eastern Europe.
"
Marukai,"
"
Recursive,"
"
Edyfjorden,"Other reasons this message may be displayed:
"
Ko,"A KO is a knockout in various sports, such as boxing and martial arts.
"
Horai,"Penglai (Chinese: 蓬萊仙島; lit. 'Penglai Immortal[1] Island') is a legendary land of Chinese mythology. It is known in Japanese mythology as Hōrai.[2]
"
charted,"Other reasons this message may be displayed:
"
ABCD,"
ABCD is a list of the first four letters in the English alphabet.  It may also refer to:
"
Aoiz,"Agoitz, or Spanish Aoiz, is a town and municipality located in the province and autonomous community of Navarre, northern Spain.
"
Tarma,"
"
Nasrabad,"Nasrabad or Naserabad or Nasr Abad (Persian: ناصراباد) may refer to various places in Iran:
"
Groadmiral,"Other reasons this message may be displayed:
"
Pehnaei,"Other reasons this message may be displayed:
"
Imelda,"Imelda is a feminine Spanish/Italian given name derived from the German form of Irmhild.[1] Notable people with the name include: 
"
binary,"Binary may refer to:
"
armoring,"Other reasons this message may be displayed:
"
bipunctalis,"Other reasons this message may be displayed:
"
Rieu,"Rieu can refer to:
"
Ragnall,"
"
Tallahassee,"
"
Thakuran,"Other reasons this message may be displayed:
"
